#
#  metacyc 19.5 Pathways link table generated on Tue Oct 6, 2015
#
PWY-6012-1	acyl carrier protein activation	[acp] metabolism	ACP metabolism
PWY-5143	long-chain fatty acid activation	long-chain acyl-CoA synthetase pathway
PWY-5339	chalcone 2'-<i>O</i>-glucoside biosynthesis	
PWY-5161	6'-deoxychalcone metabolism	
PWY-5116	sakuranetin biosynthesis	
PWY-5105	hesperitin glycoside biosynthesis	
PWY-6602	C-glycosylflavone biosynthesis I	vitexin and isovitexin biosynthesis
PWY-5094	naringenin glycoside biosynthesis	
PWY-5118	ponciretin biosynthesis	
PWY-7298	nevadensin biosynthesis	
PWY-5793	maysin biosynthesis	
PWY-6024	isovitexin glycosides biosynthesis	
PWY-7188	C-glycosylflavone biosynthesis II	orientin and isoorientin biosynthesis
PWY-7213	wogonin metabolism	
PWY-7444	luteolin triglucuronide biosynthesis	
PWY-5119	acacetin biosynthesis	
PWY-6015	vitexin and derivatives biosynthesis	vitexin and vitexin glycosides biosynthesis
PWY-7161	polymethylated quercetin biosynthesis	
PWY-7212	baicalein metabolism	
PWY-7325	salvigenin biosynthesis	
PWY-5060	luteolin biosynthesis	
PWY-6010	apigenin glycosides biosynthesis	
PWY-6239	luteolin glycosides biosynthesis	
PWY-7189	C-glycosylflavone biosynthesis III	6C- and 8C-glucosylchrysin biosynthesis
PWY-5391	syringetin biosynthesis	
PWY-7168	flavonol acylglucoside biosynthesis I - kaempferol derivatives	
PWY-6199	quercetin sulfate biosynthesis	quercetin sulphate biosynthesis
PWY-7173	quercetin triglucoside biosynthesis	
PWY-7137	quercetin gentiotetraside biosynthesis	
PWY-7448	galloylated catechin biosynthesis	
PWY-3101	flavonol biosynthesis	
PWY-7149	superpathway polymethylated quercetin/quercetagetin glucoside biosynthesis (Chrysosplenium)	
PWY-5321	quercetin glycoside biosynthesis (Arabidopsis)	
PWY-7157	eupatolitin 3-<i>O</i>-glucoside biosynthesis	
PWY-5390	rutin biosynthesis	
PWY-7166	kaempferide triglycoside biosynthesis	
PWY-6064	methylquercetin biosynthesis	
PWY-7172	flavonol acylglucoside biosynthesis III - quercetin derivatives	
PWY-7129	quercetin glucoside biosynthesis (<i>Allium</i>)	
PWY-7192	quercetin diglycoside biosynthesis (pollen-specific)	
PWY-7143	kaempferol gentiobioside biosynthesis	
PWY-5320	kaempferol glycoside biosynthesis (Arabidopsis)	
PWY-7151	polymethylated quercetin glucoside biosynthesis II - quercetagetin series (Chrysosplenium)	
PWY-5363	chrysin biosynthesis	
PWY-7163	polymethylated kaempferol biosynthesis	
PWY-6035	2,3-<i>cis</i>-flavanols biosynthesis	2,3-<i>cis</i>-flavan-3-ols biosynthesis
PWY-7171	flavonol acylglucoside biosynthesis II - isorhamnetin derivatives	
PWY-6631	<i>O</i> -methylation of tricetin	
PWY-7191	kaempferol diglycoside biosynthesis (pollen-specific)	
PWY-7140	myricetin gentiobioside biosynthesis	
PWY-7495	gossypetin metabolism	
PWY-5059	pinobanksin biosynthesis	
PWY-7150	polymethylated quercetin glucoside biosynthesis I - quercetin series (Chrysosplenium)	
PWY-5348	kaempferol triglucoside biosynthesis	
PWY-7160	polymethylated myricetin biosynthesis (tomato)	
PWY-2463	medicarpin biosynthesis	
PWY-5825	dalpatein and dalnigrein biosynthesis	dalpatein glycoside hydrolysis	dalnigrein glycoside hydrolysis	dalpatein and dalnigrein biosynthesis
PWY-7145	genistin gentiobioside biosynthesis	genistein 3-<i>O</i>-gentiobioside biosynthesis
PWY-2762	glyceollin biosynthesis II	
PWY-2002	isoflavonoid biosynthesis I	
PWY-3042	phaseollin biosynthesis	
PWY-2229	superpathway of pterocarpan biosynthesis (via formononetin)	
PWY-4681	kievitone biosynthesis	
PWY-5821	dalcochinin biosynthesis	dalcochinin glucoside hydrolysis	dalbergia isoflavonoid &beta;-glucoside hydrolysis
PWY-2467	pisatin biosynthesis	
PWY-6332	coumestrol biosynthesis	
PWY-2761	glyceollin biosynthesis I	
PWY-2083	isoflavonoid biosynthesis II	
PWY-4502	wighteone and luteone biosynthesis	
PWY-5729	vestitol and sativan biosynthesis	
PWY-2464	maackiain biosynthesis	
PWY-7633	calycosin 7-<i>O</i>-glucoside biosynthesis	
PWY-2055	superpathway of pterocarpan biosynthesis (via daidzein)	
PWY-3097	superpathway of isoflavonoids (via naringenin)	
PWY-2321	formononetin biosynthesis	
PWY-5061	6,7,4'-trihydroxyisoflavone biosynthesis	
PWY-6425	rotenoid biosynthesis II	rotenone, deguelin and derivatives biosynthesis
PWY-5775	rotenoid biosynthesis I	rotenone and amorphigenin biosynthesis
PWY-6427	rot-2'-enonate biosynthesis	rot-2'-enonic acid biosynthesis
PWY1F-823	leucopelargonidin and leucocyanidin biosynthesis	
PWY-5152	leucodelphinidin biosynthesis	
PWY-6914	sophoraflavanone G biosynthesis	
PWY-5135	xanthohumol biosynthesis	
PWY-641	proanthocyanidin biosynthesis from flavanols	
PWY-5466	matairesinol biosynthesis	
PWY-6820	diphyllin biosynthesis	
PWY-7487	(+)-secoisolariciresinol diglucoside biosynthesis	
PWY-7630	pluviatolide biosynthesis	
PWY-5479	podophyllotoxin and 6-methoxypodophyllotoxin biosynthesis	
PWY-7139	sesaminol glucoside biosynthesis	
PWY-7629	yatein biosynthesis	
PWY-5469	sesamin biosynthesis	
PWY-6824	justicidin B biosynthesis	
PWY-7491	podophyllotoxin glucosides metabolism	
PWY-7631	arctigenin and isoarctigenin biosynthesis	
PWY-6302	dihydroconiferyl alcohol biosynthesis	dihydroconiferyl aldehyde biosynthesis
PWY-116	coniferin metabolism	
PWY-83	monolignol glucosides biosynthesis	
PWY-7632	hinokiresinol biosynthesis	
PWY-7518	atromentin biosynthesis	
PWY-5780	hypericin biosynthesis	
PWY-5802	alizarin biosynthesis	
PWY-7080	asterrate biosynthesis	asterric acid biosynthesis
PWY-5701	shikonin biosynthesis	
PWY-5801	lawsone biosynthesis	
PWY-7079	geodin biosynthesis	
PWY-5371	chrysophanol biosynthesis	
PWY-5795	juglone biosynthesis	
PWY-5987	sorgoleone biosynthesis	
PWY-5045	pinosylvin metabolism	
PWY-6665	pterostilbene biosynthesis	
PWY-84	resveratrol biosynthesis	
PWY-5475	pentagalloylglucose biosynthesis	
PWY-5478	superpathway of hydrolyzable tannin biosynthesis	
PWY-5476	cornusiin E biosynthesis	
PWY-5477	gallotannin biosynthesis	
PWY-5665	vanillin biosynthesis I	
PWY-6343	ferulate degradation	ferulic acid degradation	vanillin biosynthesis II
PWY-6418	4-hydroxycoumarin and dicoumarol biosynthesis	
PWY-7739	aucuparin biosynthesis	
CAMALEXIN-SYN	camalexin biosynthesis	
PWY-2981	diterpene phytoalexins precursors biosynthesis	
PWY-7484	phytocassanes biosynthesis, shared reactions	
PWY-6887	kauralexin biosynthesis	
PWY-7481	oryzalide A biosynthesis	
PWY-7477	momilactone A biosynthesis	
PWY-7478	oryzalexin D and E biosynthesis	
PWY-7489	oryzalexin A, B, and C biosynthesis	
PWY-2921	capsidiol biosynthesis	
PWY-2961	sesquiterpenoid phytoalexins biosynthesis	rishitin biosynthesis	3-hydroxylubimin biosynthesis	lubimin biosynthesis
PWY-6888	zealexin biosynthesis	
PWY-7696	citreoisocoumarin and bikisocoumarin biosynthesis	
PWY-4801	aloesone biosynthesis I	
PWY-6310	aloesone biosynthesis II	
PWY-6316	aromatic polyketides biosynthesis	
PWY-7689	8-<i>O</i>-methylfusarubin biosynthesis	
PWY-6438	phenylphenalenone biosynthesis	anigorufone and methoxyanigorufone biosynthesis
PWY-7561	tenellin biosynthesis	
PWY-5393	raspberry ketone biosynthesis	
PWY-6314	plumbagin biosynthesis	
PWY-7673	fusarin C biosynthesis	
PWY-6432	curcuminoid biosynthesis	
PWY-7695	aurofusarin biosynthesis	
PWY-7513	flaviolin dimer and mompain biosynthesis	
PWY-12	pentaketide chromone biosynthesis	
PWY-7565	aspyridone A biosynthesis	
PWY-6312	barbaloin biosynthesis	octoketide biosynthesis	aloin biosynthesis
PWY-7672	fusaric acid biosynthesis	
PWY-7692	bikaverin biosynthesis	
PWY-6627	salinosporamide A biosynthesis	
PWY-7563	bassianin and desmethylbassianin biosynthesis	
PWY-6176	superpathway of Allium flavor precursors	
PWY-5389	3-methylthiopropanoate biosynthesis	methylthiopropionate biosynthesis
PWY-5708	ethiin metabolism	
PWY-6900	(<i>Z</i>)-butanethial-<i>S</i>-oxide biosynthesis	nectroscordum lachrymator biosynthesis
PWY-5331	taurine biosynthesis	L-cysteine degradation IV
PWY-5707	propanethial <i>S</i>-oxide biosynthesis	onion lachrymatory factor biosynthesis
PWY-6539	(<i>Z</i>)-phenylmethanethial <i>S</i>-oxide biosynthesis	
PWY-5706	alliin metabolism	allium thiosulfinates metabolism	garlic thiosulfinate metabolism
PWY-7614	methiin metabolism	
PWY-5379	B series fagopyritols biosynthesis	fagopyritol B1 biosynthesis
PWY-5380	A series fagopyritols biosynthesis	fagopyritol A1 biosynthesis
PWY-6369	inositol pyrophosphates biosynthesis	diphosphorylated inositol polyphosphates biosynthesis
PWY-6351	D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis	IP3 biosynthesis
PWY-6364	D-<i>myo</i>-inositol (1,3,4)-trisphosphate biosynthesis	
PWY-5338	galactosylcyclitol biosynthesis	
PWY-6363	D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation	
PWY-6366	D-<i>myo</i>-inositol (1,4,5,6)-tetrakisphosphate biosynthesis	
PWY-6358	superpathway of D-<i>myo</i>-inositol (1,4,5)-trisphosphate metabolism	
PWY-6365	D-<i>myo</i>-inositol (3,4,5,6)-tetrakisphosphate biosynthesis	
PWY-6362	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis II (mammalian)	phytate biosynthesis
PWY-6361	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis I  (from Ins(1,4,5)P3)	phytate biosynthesis
PWY-6554	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)	phytate biosynthesis
PWY-6555	superpathway of 1D-<i>myo</i>-inositol hexakisphosphate biosynthesis (plants)	phytate biosynthesis
PWY-4661	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza</i>)	lipid-independent phytic acid biosynthesis	lipid-independent InsP<sub>6</sub> biosynthesis	lipid-independent phytate biosynthesis	hexakisphosphate biosynthesis (lipid-independent)	phytate biosynthesis
PWY-6372	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis IV (<i>Dictyostelium</i>)	lipid-independent phytic acid biosynthesis	lipid-independent InsP<sub>6</sub> biosynthesis	lipid-independent phytate biosynthesis	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis (lipid-independent)	phytate biosynthesis
PWY-2301	<i>myo</i>-inositol biosynthesis	
PWY8J2-22	kanosamine biosynthesis II	
PWY-5978	kanosamine biosynthesis I	
PWY-5134	bitter acids biosynthesis	
PWY-5133	cohumulone biosynthesis	Bitter &alpha;-acid (cohumulone) biosynthesis
PWY-5808	hyperforin and adhyperforin biosynthesis	
PWY-5132	humulone biosynthesis	Bitter &alpha;-acid (humulone) biosynthesis
PWY-5140	cannabinoid biosynthesis	
PWY-7105	olivetol biosynthesis (olivetol synthase by-products synthesis)	
PWY-5424	superpathway of oleoresin turpentine biosynthesis	
PWY-5827	heliocides biosynthesis	
PWY-5828	lacinilene C biosynthesis	
PWY-6668	(<i>E,E</i>)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis	TMTT biosynthesis
PWY-7087	2-methylisoborneol biosynthesis	
PWY-5174	capsanthin and capsorubin biosynthesis	
PWY-5175	lactucaxanthin biosynthesis	
PWY-5288	astaxanthin biosynthesis (bacteria, fungi, algae)	
PWY-5291	canthaxanthin biosynthesis	
PWY-5943	&beta;-carotene biosynthesis	
PWY-5944	zeaxanthin biosynthesis	
PWY-5946	&delta;-carotene biosynthesis	
PWY-5947	lutein biosynthesis	
PWY-6279	myxol-2' fucoside biosynthesis	
PWY-6280	synechoxanthin biosynthesis	
PWY-6286	spheroidene and spheroidenone biosynthesis	
PWY-6287	neurosporene biosynthesis	
PWY-6288	zeaxanthin-&beta;-D-diglucoside biosynthesis	
PWY-6581	spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis	
PWY-7175	nostoxanthin biosynthesis	
PWY-7623	astaxanthin dirhamnoside biosynthesis	
PWY-6809	neoxanthin biosynthesis	
PWY-5875	staphyloxanthin biosynthesis	
PWY-7591	okenone biosynthesis	
PWY-7637	2,2'-dihydroxyketocarotenoids biosynthesis	
PWY-6767	4,4'-diapolycopenedioate biosynthesis	
PWY-7393	&beta;-carotene biosynthesis (engineered)	Golden Rice
PWY-7636	astaxanthin biosynthesis (flowering plants)	
CAROTENOID-PWY	superpathway of carotenoid biosynthesis	
PWY-7638	echinenone and zeaxanthin biosynthesis (<i>Synechocystis</i>)	
PWY-5942	<i>trans</i>-lycopene biosynthesis I (bacteria)	
PWY-6475	<i>trans</i>-lycopene biosynthesis II (plants)	
PWY-7065	2&alpha;,7&beta;-dihydroxylation of taxusin	
PWY-7392	taxadiene biosynthesis (engineered)	
PWY-5660	taxol biosynthesis	paclitaxel biosynthesis
PWY-7680	carnosate bioynthesis	carnosic acid bioynthesis
PWY-6645	labdane-type diterpenes biosynthesis	
PWY-7071	steviol glucoside biosynthesis (rebaudioside A biosynthesis)	
PWY-7482	cyclooctatin biosynthesis	
PWY-7572	lolitrem B biosynthesis	
PWY-6304	casbene biosynthesis	
PWY-6691	plaunotol biosynthesis	
PWY-7070	steviol biosynthesis	
PWY-5107	phytol salvage pathway	phytyl-PP biosynthesis (from phytol)	phytyl-diphosphate biosynthesis (from phytol)
PWY-7517	brassicicene C biosynthesis	
PWY-7721	methyl phomopsenoate biosynthesis	
PWY-6659	fusicoccin A biosynthesis	
PWY-5422	isopimaric acid biosynthesis	
PWY-5413	neoabietic acid biosynthesis	
PWY-5421	dehydroabietic acid biosynthesis	
PWY-5412	levopimaric acid biosynthesis	
PWY-5416	superpathway of diterpene resin acids biosynthesis	
PWY-5411	abietic acid biosynthesis	
PWY-5414	palustric acid biosynthesis	
PWY-5063	phytyl diphosphate biosynthesis	phytyl pyrophosphate biosynthesis	phytyl-PP biosynthesis
PWY-6270	isoprene biosynthesis I	
PWY-6913	methylbutenol biosynthesis	
PWY-7391	isoprene biosynthesis II (engineered)	isoprenoid pathway	MVA pathway	isopentenyl diphosphate biosynthesis - mevalonate dependent
PWY-922	mevalonate pathway I	isoprenoid pathway	MVA pathway	isopentenyl diphosphate biosynthesis	dimethylallyl diphosphate biosynthesis
NONMEVIPP-PWY	methylerythritol phosphate pathway I	nonmevalonate isopentenyl diphosphate biosynthesis	methylerythritol phosphate degradation	MEP degradation	deoxyxylulose phosphate pathway	DOXP pathway	Rohmer pathway	isopentenyl diphosphate biosynthesis -- mevalonate-independent	nonmevalonate isoprenoid pathway	MEP pathway
PWY-7560	methylerythritol phosphate pathway II	nonmevalonate isopentenyl diphosphate biosynthesis	methylerythritol phosphate degradation	MEP degradation	deoxyxylulose phosphate pathway	DOXP pathway	Rohmer pathway	isopentenyl diphosphate biosynthesis -- mevalonate-independent	nonmevalonate isoprenoid pathway	MEP pathway
PWY-7141	(3<i>S</i>)-linalool biosynthesis	(<i>S</i>)-linalool biosynthesis	<i>S</i>-(+)-linalool biosynthesis
PWY-7709	(3<i>R</i>)-linalool biosynthesis	(<i>R</i>)-linalool biosynthesis
PWY2OL-4	superpathway of linalool biosynthesis	
PWY-3061	menthol biosynthesis	
PWY-5423	oleoresin monoterpene volatiles biosynthesis	
PWY-5813	bornyl diphosphate biosynthesis	BPP biosynthesis
PWY-5829	geraniol and geranial biosynthesis	citral biosynthesis
PWY-5928	(4<i>R</i>)-carvone biosynthesis	
PWY-6436	perillyl aldehyde biosynthesis	
PWY-6437	fenchol biosynthesis I	
PWY-6445	fenchol biosynthesis II	
PWY-6447	trichome monoterpenes biosynthesis	
PWY-6449	fenchone biosynthesis	
PWY-6451	3-carene biosynthesis	
PWY-7182	linalool biosynthesis I	
PWY-7443	(4S)-carvone biosynthesis	(+)-carvone biosynthesis	D-carvone biosynthesis
PWY-7697	geranyl &beta;-primeveroside biosynthesis	
PWY-3041	monoterpene biosynthesis	limonene biosynthesis	myrcene biosynthesis	(<i>E</i>)-&beta;-ocimene biosynthesis
PWY-6991	(-)-camphor biosynthesis	(<i>S</i>)-camphor biosynthesis
PWY-6990	(+)-camphor biosynthesis	(<i>R</i>)-camphor biosynthesis
PWY-5815	rubber biosynthesis	
PWY-5425	oleoresin sesquiterpene volatiles biosynthesis	
PWY-5434	(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis	nerolidol biosynthesis	4,8-dimethyl-1,3(<i>E</i>),7-nonatriene biosynthesis	DMNT biosynthesis
PWY-5725	farnesene biosynthesis	
PWY-5733	germacrene biosynthesis	germacrene pathway
PWY-5773	gossypol biosynthesis	
PWY-5950	geosmin biosynthesis	
PWY-6128	cis-calamenene related sesquiterpenoids biosynthesis	
PWY-6254	santalene biosynthesis I	
PWY-6257	curcumene biosynthesis	
PWY-6258	patchoulol biosynthesis	
PWY-6265	zerumbone biosynthesis	
PWY-6271	eudesmol biosynthesis	
PWY-6275	&beta;-caryophyllene biosynthesis	
PWY-6278	botrydial biosynthesis	
PWY-6290	&beta;-cubebene biosynthesis	
PWY-6291	valencene and 7-epi-&alpha;-selinene biosynthesis	
PWY-6294	selinene biosynthesis	
PWY-6669	&delta;-guaiene biosynthesis	
PWY-6836	santalene biosynthesis II	
PWY-7711	calonectrin biosynthesis	trichothecene core skeleton biosynthesis
PWY-7712	deoxynivalenol (DON) biosynthesis	
PWY-7713	nivalenol (NIV) biosynthesis	
PWY-7714	harzianum A and trichodermin biosynthesis	
PWY-7730	T-2 toxin biosynthesis	
PWY-6244	bergamotene biosynthesis II	
PWY-6243	bergamotene biosynthesis I	
PWY-7497	3&beta;-hydroxysesquiterpene lactone biosynthesis	
PWY-6540	costunolide biosynthesis	
PWY-5195	artemisinin biosynthesis	
PWY-7736	stellatic acid biosynthesis	
PWY-7720	ophiobolin F biosynthesis	
PWY-5398	crocetin esters biosynthesis	crocin biosynthesis
PWY-5397	crocetin biosynthesis	safranal biosynthesis
PWY-5305	bixin biosynthesis	annatto biosynthesis	norbixin biosynthesis
PWY-6681	neurosporaxanthin biosynthesis	
PWY-7251	pentacyclic triterpene biosynthesis	pentacyclic triterpenoid biosynthesis
PWY-7476	superpathway avenacin A biosynthesis	
PWY-7066	glycyrrhetinate biosynthesis	
PWY-5759	saponin biosynthesis III	monodesmoside saponin biosynthesis	triterpene saponin biosynthesis III
PWY-7069	oleanolate biosynthesis	
PWY-5992	thalianol and derivatives biosynthesis	
PWY-7473	avenacin A-1 biosynthesis	
PWY-6008	baruol biosynthesis	
PWY-112	lupeol biosynthesis	
PWY-6105	botryococcenes and methylated squalene biosynthesis	botryococcene hydrocarbon biosynthesis
PWY-5377	&alpha;-amyrin biosynthesis	
PWY-5756	saponin biosynthesis II	oleanolate glucuronide triterpene saponin biosynthesis	oleanolate glucuronide biosynthesis	triterpene saponin biosynthesis II
PWY-7068	ursolate biosynthesis	
PWY-6007	arabidiol biosynthesis	
PWY-7475	des-methyl avenacin A-1 biosynthesis	
PWY-6098	diploterol and cycloartenol biosynthesis	22-hydroxyphopane-1 biosynthesis	cycloartenol biosynthesis	diploterol biosynthesis
PWY-5203	soybean saponin I biosynthesis	
PWY-6115	avenacin biosynthesis, initial reactions	
PWY-5672	ginsenosides biosynthesis	ginseng biosynthesis
PWY-7067	betulinate biosynthesis	
PWY-5774	saponin biosynthesis IV	triterpene saponin biosynthesis IV
PWY-7072	hopanoid biosynthesis (bacteria)	
PWY-6005	marneral biosynthesis	
PWY-7474	avenacin A-2 biosynthesis	
PWY-6095	dammara-20,24-diene biosynthesis	tetracyclic triterpene hydrocarbon biosynthesis	dammara-18(28),21-diene biosynthesis
PWY-6109	mangrove triterpenoid biosynthesis	taraxerol biosynthesis	germanicol biosynthesis
PWY-13	superpathway of tetrahydroxyxanthone biosynthesis	
PWY-7169	hyperxanthone E biosynthesis	
PWY-5001	tetrahydroxyxanthone biosynthesis (from benzoate)	
PWY-5002	tetrahydroxyxanthone biosynthesis (from 3-hydroxybenzoate)	
ENTBACSYN-PWY	enterobactin biosynthesis	
PWY-6374	vibriobactin biosynthesis	
PWY-5903	bacillibactin biosynthesis	
PWY-5925	hydroxylated mugineic acid phytosiderophore biosynthesis	MA biosynthesis
PWY-6375	desferrioxamine E biosynthesis	
PWY-6379	alcaligin biosynthesis	
PWY-6408	pyochelin biosynthesis	
PWY-7571	ferrichrome A biosynthesis	
AEROBACTINSYN-PWY	aerobactin biosynthesis	
PWY-5912	2'-deoxymugineic acid phytosiderophore biosynthesis	DMA biosynthesis	Fe acquisition	iron acquisition	strategy II Fe-acquisition
PWY-6378	putrebactin biosynthesis	
PWY-6407	yersiniabactin biosynthesis	
PWY-6574	achromobactin biosynthesis	
PWY-761	rhizobactin 1021 biosynthesis	
PWY-6289	petrobactin biosynthesis	
PWY-6376	desferrioxamine B biosynthesis	Desferal biosynthesis
PWY-6381	bisucaberin biosynthesis	
PWY-6409	pyoverdine I biosynthesis	
PWY-7577	ferrichrome biosynthesis	
PWY-7216	(R)- and (S)-3-hydroxybutanoate biosynthesis	(R)- and (S)-3-hydroxybutyrate biosynthesis
PWY-7052	cyanophycin metabolism	
PWY1-3	polyhydroxybutanoate biosynthesis	PHB biosynthesis	polyhydroxybutyrate biosynthesis
PWY-6657	polyhydroxydecanoate biosynthesis	medium chain length polyhydroxyalkanoate biosynthesis
PWY-7218	photosynthetic 3-hydroxybutanoate biosynthesis (engineered)	photosynthetic 3-hydroxybutyrate biosynthesis (engineered)
PWY0-1477	ethanolamine utilization	
2PHENDEG-PWY	phenylethylamine degradation I	
P561-PWY	L-proline betaine degradation	stachydrine catabolism	stachydrine degradation	L-proline betaine catabolism
PWY-6071	superpathway of phenylethylamine degradation	
PWY-6962	superpathway of trimethylamine degradation	
PWY-7431	aromatic biogenic amine degradation (bacteria)	
ORNDEG-PWY	superpathway of ornithine degradation	
PWY-5736	isopropylamine degradation	
PWY-6534	phenylethylamine degradation II	
PWY-7085	triethylamine degradation	
PWY6666-2	dopamine degradation	
GLCMANNANAUT-PWY	superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation	N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminic acid dissimilation
PWY-3621	&gamma;-butyrobetaine degradation	
PWY-6181	histamine degradation	
PWY-6968	trimethylamine degradation	
PWY-6967	methylamine degradation I	methylotrophy
PWY-6965	methylamine degradation II	
PWY-2	putrescine degradation IV	
PWY-0	putrescine degradation III	
PWY0-1221	putrescine degradation II	
PUTDEG-PWY	putrescine degradation I	putrescine degradation
PWY-3	putrescine degradation V	
CARNMET-PWY	L-carnitine degradation I	
PWY-7471	D-carnitine degradation I	
PWY-3641	L-carnitine degradation III	
PWY-3602	L-carnitine degradation II	
PWY-7472	D-carnitine degradation II	
PWY-3661-1	glycine betaine degradation II (mammalian)	
PWY-3661	glycine betaine degradation I	
PWY-7581	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation II	
PWY0-1324	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation
PWY-5704	urea degradation II	
PWY-5703	urea degradation I	
PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)	
URDEGR-PWY	superpathway of allantoin degradation in plants	ureide degradation
ALLANTOINDEG-PWY	superpathway of allantoin degradation in yeast	ureide degradation
PWY-5697	allantoin degradation to ureidoglycolate I (urea producing)	
PWY0-41	allantoin degradation IV (anaerobic)	
PWY-5694	allantoin degradation to glyoxylate I	
PWY-5705	allantoin degradation to glyoxylate III	
PWY-5692	allantoin degradation to glyoxylate II	
PWY-4722	creatinine degradation II	
CRNFORCAT-PWY	creatinine degradation I	creatinine catabolism
PWY-4741	creatinine degradation III	
PWY-6517	<i>N</i>-acetylglucosamine degradation II	
GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I	glucosamine degradation	N-acetyl-glucosamine degradation
PWY-6117	spermine and spermidine degradation I	polyamine degradation I
PWY-6441	spermine and spermidine degradation III	polyamine degradation III
PWY-6440	spermine and spermidine degradation II	polyamine degradation II
4AMINOBUTMETAB-PWY	superpathway of 4-aminobutanoate degradation	&gamma;-amino-butyrate shunt	GABA degradation
PWY-6473	4-aminobutanoate degradation IV	GABA metabolism during fruit ripening
PWY-6537	4-aminobutanoate degradation II	
PWY-5022	4-aminobutanoate degradation V	GABA degradation
PWY-6536	4-aminobutanoate degradation III	&gamma;-amino-butyrate shunt	GABA degradation
GLUDEG-I-PWY	GABA shunt	
PWY-6535	4-aminobutanoate degradation I	&gamma;-amino-butyrate shunt	GABA degradation
PWY-7494	choline degradation IV	
PWY-7167	choline degradation III	
PWY-3721	choline degradation II	
2ASDEG-PWY	orthanilate degradation	2-aminobenzenesulfonate desulfonation
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	4-HPA degradation	homoprotocatechuate degradation
4-HYDROXYMANDELATE-DEGRADATION-PWY	4-hydroxymandelate degradation	
4TOLCARBDEG-PWY	4-toluenecarboxylate degradation	4-toluate degradation
BENZCOA-PWY	anaerobic aromatic compound degradation (<i>Thauera aromatica</i>)	
M-CRESOL-DEGRADATION-PWY	<I>m</I>-cresol degradation	3-methylphenol degradation
METHYLGALLATE-DEGRADATION-PWY	methylgallate degradation	
P342-PWY	orcinol degradation	orcinol metabolism
P343-PWY	resorcinol degradation	resorcinol metabolism
P345-PWY	aldoxime degradation	aldoxime metabolism
P661-PWY	dibenzo-<I>p</I>-dioxin degradation	
P662-PWY	dibenzofuran degradation	
PARATHION-DEGRADATION-PWY	parathion degradation	
PWY-142	<i>m</i>-xylene degradation (anaerobic)	anaerobic <i>m</i>-xylene oxidation	anaerobic <i>m</i>-xylene degradation
PWY-2421	indole-3-acetate degradation VIII (bacterial)	indole-3-acetate degradation VIII (to anthranilate)
PWY-2504	superpathway of aromatic compound degradation via 3-oxoadipate	
PWY-481	ethylbenzene degradation (anaerobic)	anaerobic ethylbenzene oxidation	anaerobic ethylbenzene degradation
PWY-5062	superpathway of nicotinate degradation	
PWY-5163	<I>p</I>-cumate degradation to 2-oxopent-4-enoate	
PWY-5169	cyanurate degradation	cyanuric acid degradation
PWY-5266	<I>p</I>-cymene degradation	
PWY-5273	<i>p</i>-cumate degradation	
PWY-5450	benzene degradation	
PWY-5489	methyl parathion degradation	
PWY-5490	paraoxon degradation	
PWY-6182	superpathway of salicylate degradation	
PWY-6184	methylsalicylate degradation	
PWY-6185	4-methylcatechol degradation (<i>ortho</i> cleavage)	
PWY-6210	2-aminophenol degradation	
PWY-6339	syringate degradation	
PWY-6340	5,5'-dehydrodivanillate degradation	
PWY-6532	diphenylamine degradation	
PWY-6533	aniline degradation	
PWY-6550	carbazole degradation	
PWY-6781	chlorogenic acid degradation	chlorogenic acid hydrolysis	chlorogenate degradation
PWY-681	dibenzothiophene desulfurization	
PWY-6941	styrene degradation	
PWY-6954	superpathway of aromatic compound degradation via 2-oxopent-4-enoate	
PWY-6956	naphthalene degradation to acetyl-CoA	
PWY-7002	4-hydroxyacetophenone degradation	
PWY-7006	4-amino-3-hydroxybenzoate degradation	
PWY-7008	2-hydroxybiphenyl degradation	
PWY-7009	2,2'-dihydroxybiphenyl degradation	
PWY-7010	2-propylphenol degradation	
PWY-7011	2-isopropylphenol degradation	
PWY-7081	4-aminophenol degradation	4-hydroxyaniline degradation
